Date,Amount,Purpose,Campaign Name,Payee Name,cpf_payee_info_address,city_name,state_abbreviation,zip_code,Campaign Type,Race,District Number,,,,
5/4/2015,64.53,Food-event,Susman for City Council,Safeway,3110 East First Avenue,Denver,CO,80206,Candidate,District Councilmember,Council District 5,,,,
5/4/2015,34.54,Volunteer Meals,Friends for Ian,Domino's Pizza,906 S. Sheridan Blvd.,Denver,CO,80226,Candidate,District Councilmember,Council District 7,,,,
5/4/2015,150,Donation Tracking Web Service,Friends for Ian,NGP VAN,48 Grove Street Suite 202,Somerville,MA,2144,Candidate,District Councilmember,Council District 7,,,,
5/4/2015,171.44,Merchant Processing Fees,Friends for Ian,NGP VAN,48 Grove Street Suite 202,Somerville,MA,2144,Candidate,District Councilmember,Council District 7,,,,
5/4/2015,25.3,CC Processing,The Committee to Elect Michael Borcherding,Authorize.net,PO BOX 947,American Fork,UT,84003,Candidate,District Councilmember,Council District 9,,,,
5/4/2015,131.82,CC procesing,The Committee to Elect Michael Borcherding,Meritcard Solutions,311 Cesar Chavez Blvd,Dallas,TX,75201,Candidate,District Councilmember,Council District 9,,,,
5/4/2015,10.35,Software,The Committee to Elect Michael Borcherding,MSFT Office,Online,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,,,
5/4/2015,60,Cash paid to phonebank team,The Committee to Elect Michael Borcherding,Cash Withdrawel,1601 Blake Street Suite 105,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,,,
5/4/2015,60,Cash paid to phonebank team,The Committee to Elect Michael Borcherding,Cash Withdrawel,1601 Blake Street Suite 105,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,,,
5/4/2015,60,Cash paid to phonebank team,The Committee to Elect Michael Borcherding,Cash Withdrawel,1601 Blake Street Suite 105,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,,,
5/4/2015,15.63,Office Supplies,The Committee to Elect Michael Borcherding,Office Depot,1585 Wynkoop st,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,,,
5/4/2015,53.34,Phone Service,The Committee to Elect Michael Borcherding,Vonage,Online,Denver,CO,80205,Candidate,District Councilmember,Council District 9,,,,
5/4/2015,32.29,Refreshments for campaign workers,Halisi Vinson for Denver,Starbuck's,6395 E. Hampden,Denver,CO,80222,Candidate,District Councilmember,Council District 4,,,,
5/4/2015,44.97,Food for campaign workers,Halisi Vinson for Denver,Safeway,5440 E. Yale Ave,Denver,CO,80222,Candidate,District Councilmember,Council District 4,,,,
5/4/2015,4.99,Ice for campaign event,Halisi Vinson for Denver,Conoco,8899 E. Hampden,Denver,CO,80231,Candidate,District Councilmember,Council District 4,,,,
5/4/2015,48.18,Food for campaign workers,Halisi Vinson for Denver,Giorgio's Pizza,3333 S. Tamarac Drive,Denver,CO,80231,Candidate,District Councilmember,Council District 4,,,,
5/4/2015,750,Campaign Office Mgr salary,Halisi Vinson for Denver,Brooke Baxa,1255 S. Bellaire St.,Denver,CO,80246,Candidate,District Councilmember,Council District 4,,,,
5/4/2015,10,automated calls,Halisi Vinson for Denver,Robodial,NA,Falls Church,VA,22046,Candidate,District Councilmember,Council District 4,,,,
5/4/2015,15,Email Services,Nevitt for Auditor,Google Apps,1600 Amphitheatre Parkway,Mountain View,CO,94043,Candidate,Auditor,,,,,
5/5/2015,502.5,Canvassing,Friends for Chris Herndon,Streetwise Data,899 Pearl St. #20,Denver,CO,80203,Candidate,District Councilmember,Council District 11,,,,
5/5/2015,500,Election Night Event,Debra for Denver,Exdo Event Center,1399 35th Street,Denver,CO,80205,Candidate,Clerk & Recorder,,,,,
5/5/2015,27.21,Office Supplies,Kniech for Council At-Large,Office Depot,1585 Wynkoop St,Denver,CO,80202,Candidate,Council-At-Large,,,,,
5/5/2015,13.74,campaign supplies,Kniech for Council At-Large,The Home Depot, 7200 W Colfax Ave,Lakewood,CO,80214,Candidate,Council-At-Large,,,,,
5/5/2015,509.52,Voter Calling,Ortega at Large,Groundswell Communications,101 North Union St,Alexandria,VA,22314,Candidate,Council-At-Large,,,,,
5/5/2015,432.94,Event Space and Supplies,Shepherd for Northwest Denver,Brewshine BBQ & Taphouse,3109 Federal Blvd.,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/5/2015,25,Wire Fee,Friends for Ian,First Bank,1200 17th Street, Suite 100,Denver,CO,80202,Candidate,District Councilmember,Council District 7,,,
5/5/2015,2750,Online Marketing,Friends for Ian,Convergence Marketing,7361A Coca Cola Drive,Hanover,MD,21076,Candidate,District Councilmember,Council District 7,,,,
5/5/2015,0.56,Office Supplies,The Committee to Elect Michael Borcherding,Office Depot,1585 Wynkoop st,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,,,
5/5/2015,13.98,Office supplies,Halisi Vinson for Denver,OFFICE MAX ,2730 S Colorado Blvd,Denver,CO,80222,Candidate,District Councilmember,Council District 4,,,,
5/5/2015,10,Automated calls,Halisi Vinson for Denver,Robodial,NA,Falls Church,VA,22046,Candidate,District Councilmember,Council District 4,,,,
5/5/2015,107.6,Fees for online contributions,Halisi Vinson for Denver,Paypal,2211 North First Street,San Jose,CA,95131,Candidate,District Councilmember,Council District 4,,,,
5/5/2015,2,Fee for FB business cards,Halisi Vinson for Denver,First Bank,8901 E. Hampden Ave.,Denver,CO,80231,Candidate,District Councilmember,Council District 4,,,,
5/5/2015,5,Fee for 5 non-pre-printed deposit and/or withdrawal forms @ 1.00 each,Halisi Vinson for Denver,First Bank,8901 E. Hampden Ave.,Denver,CO,80231,Candidate,District Councilmember,Council District 4,,,,
5/5/2015,394.34,Election night campaign event for volunteers,Halisi Vinson for Denver,Citron Bistro,3535 S. Yosemite,Denver,CO,80237,Candidate,District Councilmember,Council District 4,,,,
5/5/2015,19.59,Event Food,Campaign to Elect Shelli Brown,King Soopers,18605 Green Valley Ranch Boulevard,Denver,CO,80249,Candidate,District Councilmember,Council District 11,,,,
5/5/2015,32.24,Office Supplies,Paul Lopez for Denver,Office Max,7980 W. Alameda Ave.,Lakewood,CO,80226,Candidate,District Councilmember,Council District 3,,,,
5/5/2015,12.14,Office Supplies,Paul Lopez for Denver,Office Max,7980 W. Alameda Ave.,Lakewood,CO,80226,Candidate,District Councilmember,Council District 3,,,,
5/5/2015,70.61,Office Supplies/Printing,Paul Lopez for Denver,Office Depot,650 S. Wadsworth Blvd.,Lakewood,CO,80226,Candidate,District Councilmember,Council District 3,,,,
5/5/2015,500,Professional Svcs,Paul Lopez for Denver,Marcos Garibay,416 21st St.#17,Denver,CO,80205,Candidate,District Councilmember,Council District 3,,,,
5/5/2015,150,Hall Rental,Paul Lopez for Denver,American GI Forum, Mile High Chapter,1717 Federal Blvd.,Denver,CO,80204,Candidate,District Councilmember,Council District 3,,,
5/5/2015,4000,Voter Contact,Kendra Black for District 4 City Council,Blitz Canvassing,4950 S. Yosemite St. F2 #195,Greenwood Village,CO,80111,Candidate,District Councilmember,Council District 4,,,,
5/5/2015,2950,Advertising,Wayne New for City Council,Glendale Cherry Creek Chronicle,2110 South Ash Street, Suite 22,Denver,CO,80222,Candidate,District Councilmember,Council District 10,,,
5/5/2015,19.61,Supplies,Langston for Denver,Moe's Bagels,550 Grant St # D,Denver,CO,80203,Candidate,District Councilmember,Council District 7,,,,
5/5/2015,54.67,Supplies,Langston for Denver,Natural Grocers,1433 Washington St,Denver,CO,80203,Candidate,District Councilmember,Council District 7,,,,
5/5/2015,179.38,Supplies,Langston for Denver,Argonaut,760 E. Colfax Ave,Denver,CO,80203,Candidate,District Councilmember,Council District 7,,,,
5/5/2015,33.2,Banking Fees,Langston for Denver,Paypal,2211 N 1st St,San Jose,CA,95131,Candidate,District Councilmember,Council District 7,,,,
5/5/2015,18.9,Transaction Fees,Rafael Espinoza for District Councilmember,PAYPAL,2211 NORTH FIRST STREET,San Francisco,CA,95131,Candidate,District Councilmember,Council District 1,,,,
5/5/2015,68.75,Checks,Rafael Espinoza for District Councilmember,DELUXE CHECKS,3680 VICTORIA STREET NORTH,Minneapolis,MN,55126,Candidate,District Councilmember,Council District 1,,,,
5/5/2015,300,Event Band,Rafael Espinoza for District Councilmember,Rene M. Rivera,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/5/2015,200,Event Security,Rafael Espinoza for District Councilmember,Mike Mosco,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/5/2015,172.15,Refreshments,Friends for Kevin Flynn,Torres Mexican Food,1597 S Federal Blvd,Denver,CO,80219,Candidate,District Councilmember,Council District 2,,,,
5/5/2015,248,Website,Adams for Denver City Council,Web Network Solutions,12808 Gran Bay Parkway,Jacksonville,FL,32258,Candidate,District Councilmember,Council District 6,,,,
5/5/2015,4111.66,Mailer Printing and Postage,Citizens for John Kidd,Tri-Lakes Printing,15706 Jackson Creek Pkwy #120,Monument,CO,80132,Candidate,District Councilmember,Council District 2,,,,
5/5/2015,200,Campaign consultant,Committee to elect Jake Viano,Steve Tomasek,12361 East Cornell Ave,Aurora,CO,80014,Candidate,District Councilmember,Council District 7,,,,
5/5/2015,16880,Direct Mail and Yard Signs,Committee to Elect Stacie Gilmore,Centennial Communications,2260 South Monroe Street,Denver,CO,80210,Candidate,District Councilmember,Council District 11,,,,
5/6/2015,2500,Consulting,Friends for Kevin Flynn,Geoff Tchon,1145 Sherman St,Denver,CO,80203,Candidate,District Councilmember,Council District 2,,,,
5/6/2015,750,Consulting,Friends for Kevin Flynn,Jason Muller,5504 S Newcombe St,Littleton,CO,80217,Candidate,District Councilmember,Council District 2,,,,
5/6/2015,30,Monthly fee,O'Brien for Auditor,PayPal,2211 North First Street,San Jose,CA,95131,Candidate,Auditor,,,,,
5/6/2015,1500,Political Consulting,Citizens for John Kidd,A.M. Ellis,371 S. Estes St. #10,Lakewood,CO,80226,Candidate,District Councilmember,Council District 2,,,,
5/6/2015,130.28,election day event ,Travis Leiker for Denver City Council ,Susan Rogers,1291 Fairfax,Denver,CO,80220,Candidate,District Councilmember,Council District 10,,,,
5/6/2015,240,canvassing,Travis Leiker for Denver City Council ,Derek Officer,3653 Josephine St,Denver,CO,80205,Candidate,District Councilmember,Council District 10,,,,
5/6/2015,39.56,Strategy meeting,Anna Jones For City Council,Chop Shop,4990 E Colfax,Denver,CO,80220,Candidate,District Councilmember,Council District 10,,,,
5/6/2015,2.15,transaction fee,Chiari for Denver,Act Blue,366 Summer St,Somerville,MA,2144,Candidate,District Councilmember,Council District 10,,,,
5/6/2015,68000,canvassing,Vital for Colorado Action Committee,Blitz Canvassing,4950 SOUTH YOSEMITE STREET F2 #195,Greenwood Village,CO,80111,PAC,,,,,,
5/7/2012,20,Denver Duck Drop,Charlie Brown for City Council,Denver Foundation,55 Madison St,Denver,CO,80206,Candidate,District Councilmember,Council District 6,,,,
5/7/2012,140.75,Supplies,Hancock for Denver,Target,4301 E. Virginia Ave.,Denver,CO,80246,Candidate,Mayor,,,,,
5/7/2012,100,Gift Card Prizes for function,Gallagher for Auditor,Barnes and Noble Bookstore,500 16th Street,Denver,CO,80202,Candidate,Auditor,,,,,
5/7/2015,419.54,Food and Beverage,Albus Brooks for City Council,Ophelias,1215 20th St,Denver,CO,80202,Candidate,District Councilmember,Council District 8,,,,
5/7/2015,88.87,Food and Beverage,Albus Brooks for City Council,My Brothers Bar,2376 15th St,Denver,CO,80202,Candidate,District Councilmember,Council District 8,,,,
5/7/2015,30.97,Food and Beverage,Albus Brooks for City Council,Welton St Café,2736 Welton St #107,Denver,CO,80205,Candidate,District Councilmember,Council District 8,,,,
5/7/2015,1500,Fundraising Consultant,Albus Brooks for City Council,Derrington Consulting,536 Downing, Unit A,Denver,CO,80218,Candidate,District Councilmember,Council District 8,,,
5/7/2015,363.6,Car Service,Albus Brooks for City Council,Special Times Denver,116 N 1st Ave,Brighton,CO,80601,Candidate,District Councilmember,Council District 8,,,,
5/7/2015,4536.08,Election Night Event - Food & Beverage,Hancock for Denver,Gourmet Fine Catering,600 17th St. Suite 2800,Denver,CO,80202,Candidate,Mayor,,,,,
5/7/2015,86.09,Election night party,Friends for Chris Herndon,Marco's Pizza,8286 Northfield Blvd,Denver,CO,80238,Candidate,District Councilmember,Council District 11,,,,
5/7/2015,27.79,Election night party,Friends for Chris Herndon,Marco's Pizza,8286 Northfield Blvd,Denver,CO,80238,Candidate,District Councilmember,Council District 11,,,,
5/7/2015,42.63,Election night party,Friends for Chris Herndon,Marco's Pizza,8286 Northfield Blvd,Denver,CO,80238,Candidate,District Councilmember,Council District 11,,,,
5/7/2015,18.75,Banking fees,Kniech for Council At-Large,Litle & Co,8500 Governors Hill Drive,Cincinnati,OH,45249,Candidate,Council-At-Large,,,,,
5/7/2015,20.5,Volunteer Appreciation,Friends for Ian,Safeway,12680 W 64th Avenue,Arvada,CO,80004,Candidate,District Councilmember,Council District 7,,,,
5/7/2015,100,Volunteer Meals,Friends for Ian,School House Kitchen and Libations,5660 Olde Wadsworth Blvd,Arvada,CO,80002,Candidate,District Councilmember,Council District 7,,,,
5/7/2015,100,Cash withdrawal - gas money for GOTV organizer,Halisi Vinson for Denver,First Bank,8901 E. Hampden Ave.,Denver,CO,80231,Candidate,District Councilmember,Council District 4,,,,
5/7/2015,9542.5,Campaign consulting firm,Halisi Vinson for Denver,Rocky Mountain Voter Outreach,899 Logan St. #115,Denver,CO,80203,Candidate,District Councilmember,Council District 4,,,,
5/7/2015,2000,Election Night,Nevitt for Auditor,Exdo Event Center,1399 35th St,Denver,CO,80205,Candidate,Auditor,,,,,
5/7/2015,2,Bank Fee,Campaign to Elect Shelli Brown,FirstBank,18521 Green Valley Ranch Boulevard,Denver,CO,80249,Candidate,District Councilmember,Council District 11,,,,
5/7/2015,2,bank fees,Friends of Tea Schook,FirstBank,18521 Green Valley Ranch Blvd,Denver,CO,80249,Candidate,District Councilmember,Council District 11,,,,
5/7/2015,439.16,Campaign Supplies/iPods,Jolon Clark for Denver,Amazon.com,1200 12th Ave. South, Ste. 1200,Seattle,WA,98144,Candidate,District Councilmember,Council District 7,,,
5/7/2015,1707.6,Phone Calls,Langston for Denver,Progressive Contacts VCS,20165 N 67th Ave,Glendale,AZ,85308,Candidate,District Councilmember,Council District 7,,,,
5/7/2015,211.11,Online advertising,Langston for Denver,Facebook Advertising, 1 Hacker Way,Menlo Park,CA,94025,Candidate,District Councilmember,Council District 7,,,,
5/7/2015,1500,Professional Services,Langston for Denver,Alpine Public Affairs,112 Crow Ridge Rd,Evergreen,CO,80439,Candidate,District Councilmember,Council District 7,,,,
5/7/2015,241.52,Reimbursement for phone services expenses,Langston for Denver,Alpine Public Affairs,112 Crow Ridge Rd,Evergreen,CO,80439,Candidate,District Councilmember,Council District 7,,,,
5/7/2015,1500,Consulting,Kashmann For Council - Denver District 6,Sam Krause,1909 Colquit St. #5,Houston,TX,77098,Candidate,District Councilmember,Council District 6,,,,
5/7/2015,15,Parking ,Fran Coleman for City Council,Focus Parking Syst,1403 Stout St,Denver,CO,80202,Candidate,District Councilmember,Council District 2,,,,
5/7/2015,1500,Campaign Services ,Fran Coleman for City Council,Abe Kaul,870 Cherry Street # 304,Denver,CO,80220,Candidate,District Councilmember,Council District 2,,,,
5/8/2015,50,Event Security,Rafael Espinoza for District Councilmember,Jonathan Rubio,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,50,Event Security,Rafael Espinoza for District Councilmember,Larry Cardenas,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,50,Event Security,Rafael Espinoza for District Councilmember,Gary Ortiz,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,250,Staffing,Rafael Espinoza for District Councilmember,Tony Lemos,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,300,Staffing,Rafael Espinoza for District Councilmember,MIchelle Lemos,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,460,Staffing,Rafael Espinoza for District Councilmember,Georgia Lemos,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,504,Staffing,Rafael Espinoza for District Councilmember,Stormy Sanchez,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,604,Staffing,Rafael Espinoza for District Councilmember,Antoinette Ochoa,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,394,Staffing,Rafael Espinoza for District Councilmember,Rocky Garcia,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,50,Event Security,Rafael Espinoza for District Councilmember,Rocky Garcia,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,460,Staffing,Rafael Espinoza for District Councilmember,Doris Montoya,1351 W. 38th Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
5/8/2015,167.92,Refreshments,Fran Coleman for City Council,Ben Coleman,2221 S Lowell Blvd,Denver,CO,80219,Candidate,District Councilmember,Council District 2,,,,
5/8/2015,200,Refreshments ,Fran Coleman for City Council,Ben Coleman,2221 S Lowell Blvd,Denver,CO,80219,Candidate,District Councilmember,Council District 2,,,,
5/8/2015,525,Graphic design,Friends for Kevin Flynn,Breanne Baab,400 N McClurg Court Unit 3008,Chicago,IL,60611,Candidate,District Councilmember,Council District 2,,,,
5/8/2015,104.49,Bank Fees,Adams for Denver City Council,Act Blue,366 Summer Street,Somerville,MA,2114,Candidate,District Councilmember,Council District 6,,,,
5/8/2015,22.94,Bank Fees,Adams for Denver City Council,Litle and Company,900 Chelmsford St,Lowell,MA,1851,Candidate,District Councilmember,Council District 6,,,,
5/8/2015,40,Data File,Citizens for John Kidd,Manager of Finance,200 W 14th Ave,Denver,CO,80204,Candidate,District Councilmember,Council District 2,,,,
5/8/2015,1723.28,Campaign materials,Anna Jones For City Council,C&D Printing Inc,5351 Tennyson St Unit 1C,Denver,CO,80212,Candidate,District Councilmember,Council District 10,,,,
5/8/2015,985,Yard signs,Anna Jones For City Council,My Campaign Store LLC,304 Whittington Pkwy #201,Louisville,KY,40222,Candidate,District Councilmember,Council District 10,,,,
5/8/2015,16.88,service fee,Chiari for Denver,Act Blue,366 Summer St,Somerville,MA,2144,Candidate,District Councilmember,Council District 10,,,,
5/9/2013,266.29,Travel/Transportation,Albus Brooks for City Council,US Airways,7654 Undergrove St,Denver,CO,80249,Candidate,District Councilmember,Council District 8,,,,
5/9/2013,136.8,Travel/Transportation,Albus Brooks for City Council,JetBlue,8500 Pena Boulevard,Denver,CO,80249,Candidate,District Councilmember,Council District 8,,,,
5/9/2013,250,Contribution,Charlie Brown for City Council,Book Trust,201 Linden Street #202,Fort Collins,CO,80524,Candidate,District Councilmember,Council District 6,,,,
5/9/2013,82.73,email credits,Kniech for Council At-Large,Vertical Response,50 Beale St 10th Floor,San Francisco,CA,94105,Candidate,Council-At-Large,,,,,
5/9/2014,4.99,Website Hosting,Albus Brooks for City Council,Godaddy.com,14455 N Hayden Rd #219,Scottsdale,AZ,85260,Candidate,District Councilmember,Council District 8,,,,
5/9/2014,10.75,Office Supplies,Nevitt for Auditor,Office Depot,1585 Wynkoop St,Denver,CO,80202,Candidate,Auditor,,,,,
5/10/2012,56,Bank Fee,Denver County Republican Central Committee,Wells Fargo,101 N. Phillips Ave,Sioux Falls,ND,57104,PAC,,,,,,
5/10/2012,189,Airfare to ICSC Conference,Charlie Brown for City Council,Frontier Airlines,7001 Tower Road,Denver,CO,80249,Candidate,District Councilmember,Council District 6,,,,
5/10/2013,66,bank card fee,Denver County Republican Central Committee,Wells Fargo,101 N. Phillips Ave,Sioux Falls,ND,57104,PAC,,,,,,
5/10/2015,171,Email Services,Nevitt for Auditor,Wired for Change,7200 Wisconsin Ave, Suite 200,Bethesda,MD,20814,Candidate,Auditor,,,,
5/11/2015,250,Campaign Contribution,Denver County Republican Central Committee,Citizens for John Kidd,PO Box 27141,Denver,CO,80227,PAC,,,,,,
5/11/2015,500,Consulting,Friends for Chris Herndon,Ben Gelt,861 Humboldt St. Apt. C,Denver,CO,80218,Candidate,District Councilmember,Council District 11,,,,
5/11/2015,400,Consulting Services,Debra for Denver,Strategem,1551 Larimer #1603,Denver,CO,80202,Candidate,Clerk & Recorder,,,,,
5/11/2015,750,Campaign Office Mgr salary,Halisi Vinson for Denver,Brooke Baxa,1255 S. Bellaire St.,Denver,CO,80246,Candidate,District Councilmember,Council District 4,,,,
5/11/2015,400,consulting,Friends of Tea Schook,Douglas Pacheco-Myers,3127 W 28th Ave #1,Denver,CO,80211,Candidate,District Councilmember,Council District 11,,,,
5/11/2015,350,Photography,Kendra Black for District 4 City Council,Evan Semon,101 W. Irvington Pl. #2,Denver,CO,80223,Candidate,District Councilmember,Council District 4,,,,
5/11/2015,2716.56,Consulting and Outreach,Sean Bradley for Denver City Council District 11,Sam Lopez,4840 Chambers Road,Denver,CO,80239,Candidate,District Councilmember,Council District 11,,,,
5/12/2015,800,Campaign Advertisement,Anna Jones For City Council,Out Front magazine,3535 Walnut St,Denver,CO,80205,Candidate,District Councilmember,Council District 10,,,,
5/12/2015,67.6,Strategy meetings reimbursement,Anna Jones For City Council,Anna Jones,1428 St Paul St,Denver,CO,80206,Candidate,District Councilmember,Council District 10,,,,
5/12/2015,-62.5,Web Hosting Refund,Mateos Alvarez for District 7, LLC,NationBuilder,Online purchase,Denver,CO,80210,Candidate,District Councilmember,Council District 7,,,
5/13/2014,442.85,Cell Phone,Hancock for Denver,Verizon Wireless,7000 Central Ave. SW,Albuquerque,NM,87121,Candidate,Mayor,,,,,
5/13/2014,20.45,Candidate Name Badge,Committee to elect Bill McMullen,Ace Kauffman Stamp & Seal Co,2040 Welton St,Denver,CO,80205,Candidate,District Councilmember,Council District 4,,,,
5/13/2015,250,Donation,Charlie Brown for City Council,We Don't Waste,3360 Walnut St #B,Denver,CO,80202,Candidate,District Councilmember,Council District 6,,,,
5/13/2015,375.96,Reimbursement - Mileage,Hancock for Denver,Barry Burch,1956 Lawrence St. #810,Denver,CO,80202,Candidate,Mayor,,,,,
5/13/2015,90.31,Reimbursement - Event Supplies/Food,Hancock for Denver,Danny Glover,1436 Tremont Pl.,Denver,CO,80202,Candidate,Mayor,,,,,
5/13/2015,539.13,Reimbursement - Supplies/Meals,Hancock for Denver,Jake Martin,3127 Downing St.,Denver,CO,80205,Candidate,Mayor,,,,,
5/13/2015,200,Photography,Hancock for Denver,Evan Semon,970 Pennsylvania St.,Denver,CO,80203,Candidate,Mayor,,,,,
5/13/2015,246.25,Reimbursement - Parade Supplies,Hancock for Denver,Denise Maes,4133 N. Raleigh St.,Denver,CO,80212,Candidate,Mayor,,,,,
5/13/2015,144.65,Reimbursement - Mileage,Hancock for Denver,Garrett Royer,2323 W. 41st Ave.,Denver,CO,80212,Candidate,Mayor,,,,,
5/13/2015,4150,Consulting - Digital,Hancock for Denver,Heart & Mind Media LLC,2555 Fairfax St.,Denver,CO,80207,Candidate,Mayor,,,,,
5/13/2015,377.4,Reimbursement - Supplies/Postage,Hancock for Denver,Erin Eidsness,1350 Verbena St.,Denver,CO,80220,Candidate,Mayor,,,,,
5/13/2015,148.65,Cell Phone,Hancock for Denver,Verizon Wireless,7000 Central Ave. SW,Albuquerque,NM,87121,Candidate,Mayor,,,,,
5/13/2015,2150,Consulting - Compliance/Bookkeeping,Hancock for Denver,Sandy Partyka,PO Box 533,Indian Hills,CO,80454,Candidate,Mayor,,,,,
5/13/2015,1050,Campaign Software,Hancock for Denver,NGP Van Inc. ,1101 15th St. NW Suite 500,Washington,DC,20005,Candidate,Mayor,,,,,
5/13/2015,667.5,Canvassing,Friends for Chris Herndon,Streetwise Data,899 Pearl St. #20,Denver,CO,80203,Candidate,District Councilmember,Council District 11,,,,
5/13/2015,209,Event Photography,Shepherd for Northwest Denver,Ric Urrutia Photography,2817 W. 33rd Ave., Unit 5,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,
5/13/2015,500,consulting,Sean Bradley for Denver City Council District 11,Danny Glover,26 South Sherman Street,Denver,CO,80206,Candidate,District Councilmember,Council District 11,,,,
5/13/2015,250,Finance Team,Sean Bradley for Denver City Council District 11,Garrett Swenson,4251 Stonecrossing ,Provo,UT,84604,Candidate,District Councilmember,Council District 11,,,,
5/13/2015,35.49,Cell phone minutes,Jolon Clark for Denver,Verizon Wireless,PO Box 660108,Dallas,TX,75266,Candidate,District Councilmember,Council District 7,,,,
5/13/2015,1501.76,Printing,Jolon Clark for Denver,C & D Printing, INC,5351 Tennyson St Unit 1-C,Denver,CO,80212,Candidate,District Councilmember,Council District 7,,,
5/13/2015,3341.41,Printing,Jolon Clark for Denver,C & D Printing, INC,5351 Tennyson St Unit 1-C,Denver,CO,80212,Candidate,District Councilmember,Council District 7,,,
5/13/2015,3770.9,Mailer Expense,Wayne New for City Council,Colorado Data Mail,2525 West 4th Avenue,Denver,CO,80219,Candidate,District Councilmember,Council District 10,,,,
5/13/2015,188.91,Card Processing Fees,Aaron Greco for Denver ,Democracy Engine,2125 14th Street Northwest,Washington,DC,20009,Candidate,District Councilmember,Council District 7,,,,
5/13/2015,31.51,Refreshments ,Fran Coleman for City Council,Steve Snappin Dogs,3525 E Colfax Ave,Denver,CO,80206,Candidate,District Councilmember,Council District 2,,,,
5/13/2015,2916.75,Mailer,Friends for Kevin Flynn,C&D Printing,5351 Tennyson St,Denver,CO,80212,Candidate,District Councilmember,Council District 2,,,,
5/13/2015,12.94,Office supplies,Friends for Kevin Flynn,OfficeDepot,5136 S Wadsworth Blvd,Littleton,CO,80123,Candidate,District Councilmember,Council District 2,,,,
5/13/2015,598,Campaign literature,Committee To Elect Jeffery Washington,Denver Print Company,10525 E. 40th Ave Unit 204,Denver,CO,80204,Candidate,Council-At-Large,,,,,
5/13/2015,4000,Robo Calls and Polling Service,Committee To Elect Jeffery Washington,Voice Broadcasting,1527 S. Cooper St.,Arlington,TX,76010,Candidate,Council-At-Large,,,,,
5/13/2015,4000,Facebook Ads,Committee To Elect Jeffery Washington,Facebook Inc,10525 E. 40th Ave Unit 204,Palo Alto,CA,94303,Candidate,Council-At-Large,,,,,
5/13/2015,709,Tickets,McGihon for City Council,the Denver Center for the Performing Arts,950 13th St,Denver,CO,80204,Candidate,District Councilmember,Council District 7,,,,
5/13/2015,720,canvassing,Travis Leiker for Denver City Council ,Joshua Phillips,45 Bannock St,Denver,CO,80223,Candidate,District Councilmember,Council District 10,,,,
5/13/2015,6354.76,Campaign materials,Anna Jones For City Council,C&D Printing Inc,5351 Tennyson St Unit 1C,Denver,CO,80212,Candidate,District Councilmember,Council District 10,,,,
5/13/2015,29.13,Strategy meeting,Anna Jones For City Council,Daz Bog,1200 Clayton,Denver,CO,80206,Candidate,District Councilmember,Council District 10,,,,
5/13/2015,8.29,Strategy meeting,Anna Jones For City Council,Daz Bog,1200 Clayton,Denver,CO,80206,Candidate,District Councilmember,Council District 10,,,,
5/13/2015,1,Parking,Anna Jones For City Council,Parking,downtown,Denver,CO,80204,Candidate,District Councilmember,Council District 10,,,,
5/15/2015,435,Professional Services,Aaron Greco for Denver ,Hannah Watts,335 Sherman St.,Denver,CO,80203,Candidate,District Councilmember,Council District 7,,,,
5/15/2015,400,Web Services,Aaron Greco for Denver ,Heart & Mind Media,2555 Fairfax St,Denver,CO,80207,Candidate,District Councilmember,Council District 7,,,,
5/15/2015,52.5,Professional Services,Aaron Greco for Denver ,Cameron Brennan,1434 S Grant St ,Denver,CO,80210,Candidate,District Councilmember,Council District 7,,,,
